Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
,1.0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0.166667,0.833333,Yes,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 8,0.134259,6.86574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
8,0.138889,6.88889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
7,0.166667,5.83333,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
1 7 8,0.0601852,12.0826,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,1 8,N/A,N/A,N/A
7 8,0.0462963,12.375,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A
6,0.138889,5.16667,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
6 8,0.0385802,11.7855,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
6 7,0.0462963,10.6991,Yes,N/A,N/A,N/A,N/A,N/A,6,7,N/A,N/A,N/A,N/A,N/A
1 6 7 8,0.0265775,16.3441,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,1 7,1 8,N/A,N/A,N/A
6 7 8,0.0192901,16.8356,Yes,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,N/A,N/A,N/A
5,0.111111,4.44444,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5 8,0.0308642,11.1327,Yes,N/A,N/A,N/A,N/A,5,N/A,N/A,8,N/A,N/A,N/A,N/A
5 7,0.0648148,9.72222,Yes,N/A,N/A,N/A,N/A,5,N/A,7,N/A,N/A,N/A,N/A,5 7
5 7 8,0.0231481,15.8832,Yes,N/A,N/A,N/A,N/A,5,N/A,7,8,N/A,N/A,N/A,5 7
5 6,0.0864198,8.83025,Yes,N/A,N/A,N/A,N/A,5,6,N/A,N/A,N/A,N/A,5 6,N/A
